i,average stops
962,17.0735
963,17.658001
964,17.518999
965,17.428499
966,17.533001
967,16.898001
968,18.0385
969,17.410999
970,17.565001
971,17.6805
972,18.0455
973,17.200001
974,17.400999
975,17.623501
976,17.108
977,18.3015
978,17.703501
979,17.425501
980,17.114
981,16.7535
982,17.681999
983,17.337
984,17.6745
985,18.201
986,17.483999
987,18.1315
988,17.201
989,16.864
990,17.961
991,17.8025
992,17.8165
993,17.3585
994,17.76
995,17.5735
996,18.215
997,17.654499
998,16.9555
999,17.476999
